Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Change %
02/26/2021 23:00,02/26/2021 23:54,EURUSD,Sell,0.10,0.00000,1.20450,1.20652,1.20744,-9.2,-9.20,00:00:54:00,-0.03
02/26/2021 18:30,02/26/2021 22:58,EURUSD,Sell,0.10,0.00000,1.20710,1.20916,1.20710,20.6,20.60,00:04:28:00,0.06
02/26/2021 13:45,02/26/2021 18:28,EURUSD,Sell,0.10,0.00000,1.20970,1.21005,1.20970,3.5,3.50,00:04:43:00,0.01
02/26/2021 16:30,02/26/2021 18:28,EURUSD,Sell,0.14,0.00000,1.20970,1.21295,1.20970,32.5,45.50,00:01:58:00,0.13
02/26/2021 12:15,02/26/2021 13:32,EURUSD,Sell,0.10,0.00000,1.20980,1.21189,1.20980,20.9,20.90,00:01:17:00,0.06
02/26/2021 09:45,02/26/2021 12:06,EURUSD,Sell,0.10,0.00000,1.21240,1.21314,1.21240,7.4,7.40,00:02:21:00,0.02
02/26/2021 10:30,02/26/2021 12:06,EURUSD,Sell,0.14,0.00000,1.21240,1.21537,1.21240,29.7,41.58,00:01:36:00,0.12
02/26/2021 02:30,02/26/2021 09:32,EURUSD,Sell,0.10,0.00000,1.21340,1.21416,1.21340,7.6,7.60,00:07:02:00,0.02
02/26/2021 04:00,02/26/2021 09:32,EURUSD,Sell,0.14,0.00000,1.21340,1.21636,1.21340,29.6,41.44,00:05:32:00,0.12
02/25/2021 22:30,02/26/2021 02:19,EURUSD,Sell,0.10,0.00000,1.21480,1.21685,1.21480,20.5,20.48,00:03:49:00,0.06
02/24/2021 23:15,02/25/2021 09:56,EURUSD,Buy,0.10,0.00000,1.21850,1.21711,1.21850,13.9,12.16,00:10:41:00,0.03
02/25/2021 04:00,02/25/2021 09:56,EURUSD,Buy,0.14,0.00000,1.21850,1.21590,1.21850,26.0,36.40,00:05:56:00,0.10
02/24/2021 10:45,02/24/2021 23:14,EURUSD,Buy,0.10,0.00000,1.21690,1.21644,1.21690,4.6,4.60,00:12:29:00,0.01
02/24/2021 12:30,02/24/2021 23:14,EURUSD,Buy,0.14,0.00000,1.21690,1.21523,1.21690,16.7,23.38,00:10:44:00,0.07
02/24/2021 15:45,02/24/2021 23:14,EURUSD,Buy,0.20,0.00000,1.21690,1.21368,1.21690,32.2,64.40,00:07:29:00,0.19
02/23/2021 11:00,02/24/2021 10:32,EURUSD,Buy,0.10,0.00000,1.21720,1.21607,1.21720,11.3,10.72,00:23:32:00,0.03
02/23/2021 15:00,02/24/2021 10:32,EURUSD,Buy,0.14,0.00000,1.21720,1.21446,1.21720,27.4,37.55,00:19:32:00,0.11
02/22/2021 19:00,02/23/2021 09:48,EURUSD,Buy,0.10,0.00000,1.21770,1.21564,1.21770,20.6,20.02,00:14:48:00,0.06
02/22/2021 12:45,02/22/2021 18:59,EURUSD,Buy,0.10,0.00000,1.21550,1.21343,1.21550,20.7,20.70,00:06:14:00,0.06
02/19/2021 10:45,02/22/2021 12:40,EURUSD,Buy,0.10,0.00000,1.21280,1.21266,1.21280,1.4,0.82,03:01:55:00,0.00
02/19/2021 20:30,02/22/2021 12:40,EURUSD,Buy,0.14,0.00000,1.21280,1.21120,1.21280,16.0,21.59,02:16:10:00,0.06
02/22/2021 10:45,02/22/2021 12:40,EURUSD,Buy,0.20,0.00000,1.21280,1.20945,1.21280,33.5,67.00,00:01:55:00,0.19
02/19/2021 09:30,02/19/2021 10:30,EURUSD,Buy,0.10,0.00000,1.21240,1.21035,1.21240,20.5,20.50,00:01:00:00,0.06
02/16/2021 12:30,02/19/2021 09:16,EURUSD,Buy,0.10,0.00000,1.21020,1.21593,1.21020,-57.3,-60.20,02:20:46:00,-0.18
02/16/2021 15:30,02/19/2021 09:16,EURUSD,Buy,0.14,0.00000,1.21020,1.21369,1.21020,-34.9,-52.92,02:17:46:00,-0.16
02/16/2021 16:00,02/19/2021 09:16,EURUSD,Buy,0.20,0.00000,1.21020,1.21100,1.21020,-8.0,-21.80,02:17:16:00,-0.06
02/17/2021 03:30,02/19/2021 09:16,EURUSD,Buy,0.27,0.00000,1.21020,1.20895,1.21020,12.5,27.49,02:05:46:00,0.08
02/17/2021 11:45,02/19/2021 09:16,EURUSD,Buy,0.38,0.00000,1.21020,1.20667,1.21020,35.3,125.32,01:21:31:00,0.37
02/17/2021 15:45,02/19/2021 09:16,EURUSD,Buy,0.54,0.00000,1.21020,1.20420,1.21020,60.0,311.47,01:17:31:00,0.91
02/16/2021 16:00,02/17/2021 03:04,EURUSD,Sell,0.10,0.00000,1.20870,1.21080,1.20870,21.0,20.98,00:11:04:00,0.06
02/12/2021 17:00,02/16/2021 15:45,EURUSD,Sell,0.10,0.00000,1.21150,1.20917,1.21150,-23.3,-23.34,03:22:45:00,-0.07
02/12/2021 17:45,02/16/2021 15:45,EURUSD,Sell,0.14,0.00000,1.21150,1.21046,1.21150,-10.4,-14.62,03:22:00:00,-0.04
02/12/2021 18:00,02/16/2021 15:45,EURUSD,Sell,0.20,0.00000,1.21150,1.21190,1.21150,4.0,7.92,03:21:45:00,0.02
02/15/2021 07:45,02/16/2021 15:45,EURUSD,Sell,0.27,0.00000,1.21150,1.21393,1.21150,24.3,65.56,01:08:00:00,0.19
02/16/2021 12:45,02/16/2021 15:45,EURUSD,Sell,0.38,0.00000,1.21150,1.21648,1.21150,49.8,189.24,00:03:00:00,0.56
